Item;Qty.;Ref.;Value;Manufacturer;Part Number;Unit Price;Total
1;8;BTx;Battery;;;;
2;1;IC1;4323;Adafruit;4323;23.60€;23.6€
3;1;IC2;3678;Adafruit;3678;6.32€;6.32€
4;1;IC3;2448;Adafruit;2448;4.50€;4.5€
5;1;IC4;1501;Adafruit;1501;6.32€;6.32€
6;1;IC5;MCP23018-E_SP;Microchip;MCP23018-E/SP;1.96€;1.96€
7;1;J1;Conn_01x14_Socket;;;;
8;1;J2;Conn_01x14_Pin;;;;
9;1;R1;1M;;;;
10;3;R2, R4, R5;1K;;;;
11;1;R3;1.5K;;;;
12;22;Sx;B3F-4055;Omron Electronics;B3F-4055;0.422€;9.284€
13;1;VR1;PSM60-081A-103B2;Bourns;PSM60-081A-103B2;20.88€;20.88€
14;22;;B32-1210;Omron;B32-1210;0.271€;5.962€
15;2;;PRT-13268;SparkFun Electronics;PRT-13268;7.23€;14.46€
16;1;;12BH381A-GR;Eagle Plastic Devices;12BH381A-GR;3.11€;3.11€
Total;;;;;;;96.396€
